RouteIdentifier,Timing Region,protocol_id_new
BC0101,Coastal,63
BC0102,Coastal,63
BC0103,Coastal,63
BC0104,Coastal,63
BC0105,Coastal,63
BC0106,Coastal,63
BC0107,Coastal,63
BC0108,Coastal,63
BC0110,Coastal,63
BC0111,Coastal,63
BC0112,Coastal,63
BC0113,Coastal,63
BC0114,Coastal,63
BC0115,Coastal,63
BC0116,Coastal,63
BC0117,Coastal,63
BC0118,Coastal,63
BC0119,Coastal,63
BC0120,Coastal,63
BC0121,Coastal,63
BC0122,Coastal,63
BC0123,Coastal,63
BC0124,Coastal,63
BC0125,Coastal,63
BC0126,Coastal,63
BC0127,Coastal,63
BC0128,Coastal,63
BC0129,Coastal,63
BC0130,Coastal,63
BC0131,Coastal,63
BC0132,Coastal,63
BC0133,Coastal,63
BC0135,Coastal,63
BC0136,Coastal,63
BC0138,Coastal,63
BC0139,Coastal,63
BC0140,Coastal,63
BC0141,Coastal,63
BC0142,Coastal,63
BC0143,Coastal,63
BC0144,Coastal,63
BC0145,Coastal,63
BC0146,Coastal,63
BC0147,Coastal,63
BC0148,Coastal,63
BC0149,Coastal,63
BC0150,Coastal,63
BC0151,Coastal,63
BC0152,Coastal,63
BC0159,Coastal,63
BC0160,Coastal,63
BC0161,Coastal,63
BC0162,Coastal,63
BC0163,Coastal,63
BC0164,Coastal,63
BC0165,Coastal,63
BC0166,Coastal,63
BC0167,Coastal,63
BC0201,Coastal,63
BC0202,Coastal,63
BC0203,Coastal,63
BC0204,Coastal,63
BC0205,Coastal,63
BC0206,Coastal,63
BC0207,Coastal,63
BC0208,Coastal,63
BC0209,Coastal,63
BC0210,Coastal,63
BC0211,Coastal,63
BC0212,Coastal,63
BC0213,Coastal,63
BC0214,Coastal,63
BC0215,Coastal,63
BC0216,Coastal,63
BC0217,Coastal,63
BC0218,Coastal,63
BC0220,Coastal,63
BC0222,Coastal,63
BC0223,Coastal,63
BC0224,Coastal,63
BC0225,Coastal,63
BC0226,Coastal,63
BC0227,Coastal,63
BC0228,Coastal,63
BC0229,Coastal,63
BC0230,Coastal,63
BC0232,Coastal,63
BC0233,Coastal,63
BC0234,Coastal,63
BC0235,Coastal,63
BC0236,Coastal,63
BC0301,Southern BC,44b
BC0302,Southern BC,44b
BC0303,Southern BC,44b
BC0304,Southern BC,44b
BC0305,Southern BC,44b
BC0307,Southern BC,44b
BC0308,Southern BC,44b
BC0309,Southern BC,44b
BC0310,Southern BC,44b
BC0311,Southern BC,44b
BC0312,Southern BC,44b
BC0313,Southern BC,44b
BC0314,Southern BC,44b
BC0315,Southern BC,44b
BC0316,Southern BC,44b
BC0320,Southern BC,44b
BC0322,Southern BC,44b
BC0323,Southern BC,44b
BC0326,Southern BC,44b
BC0327,Southern BC,44b
BC0328,Southern BC,44b
BC0329,Southern BC,44b
BC0330,Southern BC,44b
BC0330,Southern BC,44b
BC0339,Southern BC,44b
BC0340,Southern BC,44b
