"","SamplingEventIdentifier","SurveyAreaIdentifier","RouteIdentifier","SiteCode","collection","survey_day","survey_month","survey_year","survey_week","ProtocolCode","CollectorNumber","EffortUnits1","EffortMeasurement1","EffortUnits2","EffortMeasurement2","EffortUnits3","EffortMeasurement3","EffortUnits4","EffortMeasurement4","EffortUnits5","EffortMeasurement5","EffortUnits6","EffortMeasurement6","EffortUnits7","EffortMeasurement7","EffortUnits8","EffortMeasurement8","EffortUnits9","EffortMeasurement9","EffortUnits10","EffortMeasurement10","EffortUnits11","EffortMeasurement11","EffortUnits12","EffortMeasurement12","EffortUnits14","EffortMeasurement14","TimeCollected","DistanceFromObserver","BearingInDegrees","species_id","CommonName","ScientificName","latitude","longitude","UTMZone","UTMEasting","UTMNorthing","bcr","StateProvince","TimeObservationsStarted","NoObservations","ObservationDescriptor","ObservationCount","ObservationDescriptor2","ObservationCount2","ObservationDescriptor3","ObservationCount3","ObservationDescriptor4","ObservationCount4","ObservationDescriptor5","ObservationCount5","ObservationDescriptor6","ObservationCount6","ObservationDescriptor7","ObservationCount7"
"1","QCOWLS-3513-1","43598","QC016","QC016-01","QCOWLS",15,4,2008,2,"35","1030177","WindBeaufortStart","2","WindBeaufortEnd","3","TemperatureCelciusStart","1","TemperatureCelciusEnd","-2","Precipitation","0","CloudCover10","3","SnowCover10","10","SnowDepthMinCentimeters","50","SnowDepthMaxCentimeters","190","TrafficCount","3","NoiseLevel","1","DistanceFromStart","0","Repeat",NA,"20",NA,NA,NA,NA,NA,52.865009,-67.111824,"19","627105","5858924",8,"NL","20","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"2","QCOWLS-3627-1","43598","QC016","QC016-01","QCOWLS",16,4,2009,2,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","0","TemperatureCelciusStart","-5","TemperatureCelciusEnd","-7","Precipitation","0","CloudCover10","0","SnowCover10","10","SnowDepthMinCentimeters","90","SnowDepthMaxCentimeters","120","TrafficCount","4","NoiseLevel","1","DistanceFromStart","0","Repeat",NA,"20",NA,NA,NA,NA,NA,52.865009,-67.111824,"19","627105","5858924",8,"NL","20","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"3","QCOWLS-4768-1","43598","QC016","QC016-01","QCOWLS",27,4,2010,4,"35","1031020","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","-1","TemperatureCelciusEnd","-4","Precipitation","0","CloudCover10","0","SnowCover10","5","SnowDepthMinCentimeters","35","SnowDepthMaxCentimeters","65","TrafficCount","6","NoiseLevel","1","DistanceFromStart","0","Repeat",NA,"20.3333",NA,NA,NA,NA,NA,52.865009,-67.111824,"19","627105","5858924",8,"NL","20.3333","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"4","QCOWLS-6097-2","65008","QC018",NA,"QCOWLS",30,4,2011,4,"35","1030177","WindBeaufortStart","0","WindBeaufortEnd","0","TemperatureCelciusStart","8","TemperatureCelciusEnd","6","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","0","NoiseLevel","1","DistanceFromStart","2000","Repeat",NA,"21.2333",NA,"NW",7590,"Barred Owl","Strix varia",45.055794,-75.40699,"18","467954","4989229",13,"ON","21.2333",NA,"TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"5","QCOWLS-6162-1","65254","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","1","NoiseLevel","1","DistanceFromStart","0","Repeat",NA,"21.0333",NA,NA,NA,NA,NA,45.338596,-75.367172,"18","471232","5020631",13,"ON","21.0333","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"6","QCOWLS-6162-2","65255","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","1","NoiseLevel","2","DistanceFromStart","3400","Repeat",NA,"21.2333",NA,NA,NA,NA,NA,45.336067,-75.341438,"18","473247","5020341",13,"ON","21.2333","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"7","QCOWLS-6162-3","65256","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","2","NoiseLevel","1","DistanceFromStart","6500","Repeat",NA,"21.65",NA,NA,NA,NA,NA,45.329178,-75.357353,"18","471997","5019581",13,"ON","21.65","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"8","QCOWLS-6162-4","65257","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","2","NoiseLevel","1","DistanceFromStart","12800","Repeat",NA,"22.0333",NA,NA,NA,NA,NA,45.33136,-75.332352,"18","473957","5019815",13,"ON","22.0333","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"9","QCOWLS-6162-5","65258","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","0","NoiseLevel","1","DistanceFromStart","17200","Repeat",NA,"22.3667",NA,"N",7590,"Barred Owl","Strix varia",45.342316,-75.321838,"18","474786","5021029",13,"ON","22.3667",NA,"TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"10","QCOWLS-6162-5","65258","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","0","NoiseLevel","1","DistanceFromStart","17200","Repeat",NA,"22.3667",NA,"N",7590,"Barred Owl","Strix varia",45.342316,-75.321838,"18","474786","5021029",13,"ON","22.3667",NA,"TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
