SamplingEventIdentifier,RouteIdentifier,SiteCode,survey_year,survey_month,survey_day,latitude,UTMNorthing
ATOWLS-90678-11,NB046,NA,2018,5,11,NA,NA
ATOWLS-91654-3,NB104,NA,2018,5,9,NA,NA
ATOWLS-107252-9,NB033,NA,2019,5,12,NA,NA
ATOWLS-107252-10,NB033,NA,2019,5,12,NA,NA
ATOWLS-107252-11,NB033,NA,2019,5,12,NA,NA
ATOWLS-107329-1,NB110,NA,2019,5,9,NA,NA
ATOWLS-107726-9,NB037,NA,2019,5,13,NA,NA
ATOWLS-108788-6,NB031,NA,2019,5,12,NA,NA
ATOWLS-127438-3,NB043,NA,2019,5,5,NA,NA
ATOWLS-129577-1,NB104,NA,2019,5,13,NA,NA
ATOWLS-129577-2,NB104,NA,2019,5,13,NA,NA
ATOWLS-129577-3,NB104,NA,2019,5,13,NA,NA
ATOWLS-88670-1,NS027,NA,2018,4,23,NA,NA
ATOWLS-106998-11,NS038,NA,2019,5,6,NA,NA
ATOWLS-127261-1,NS028,NA,2019,5,5,NA,NA
ATOWLS-127274-1,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-2,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-3,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-4,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-4,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-5,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-6,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-7,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-7,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-8,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-8,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-9,NS035,NA,2019,4,24,NA,NA
ATOWLS-127274-10,NS035,NA,2019,4,24,NA,NA
ATOWLS-127503-1,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-2,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-2,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-3,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-4,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-5,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-6,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-7,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-7,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-8,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-9,NS034,NA,2019,4,11,NA,NA
ATOWLS-127503-10,NS034,NA,2019,4,11,NA,NA
ATOWLS-127504-1,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-2,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-3,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-4,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-5,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-6,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-7,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-8,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-8,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-9,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-9,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-9,NS049,NA,2019,5,2,NA,NA
ATOWLS-127504-10,NS049,NA,2019,5,2,NA,NA
ATOWLS-86586-10,PE003,NA,2017,4,30,NA,NA
ATOWLS-86586-11,PE003,NA,2017,4,30,NA,NA
ATOWLS-86586-12,PE003,NA,2017,4,30,NA,NA
ATOWLS-127612-4,PE014,NA,2019,5,13,NA,NA
