SamplingEventIdentifier,RouteIdentifier,SiteCode,survey_year,survey_month,survey_day,latitude,UTMNorthing
MBOWLS-683-1,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-2,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-3,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-4,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-5,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-6,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-7,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-8,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-9,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-10,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-11,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-12,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-13,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-14,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-683-15,NA,63 P/12-2 Thompson South (MB124),1996,4,18,55.71357,NA
MBOWLS-685-1,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-2,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-3,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-4,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-5,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-6,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-7,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-8,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-9,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
MBOWLS-685-10,NA,63 P/12-2 Thompson South (MB124); ,1996,5,10,55.71357,NA
