SamplingEventIdentifier,RouteIdentifier,SiteCode,survey_year,survey_month,survey_day,latitude,UTMNorthing
ONOWLS-106384-1,ON0217,NA,2019,4,16,NA,NA
ONOWLS-106384-2,ON0217,NA,2019,4,16,NA,NA
ONOWLS-106384-3,ON0217,NA,2019,4,16,NA,NA
ONOWLS-106384-14,ON0217,NA,2019,4,16,NA,NA
ONOWLS-106571-2,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-3,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-4,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-5,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-6,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-7,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-8,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-9,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-10,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-11,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-12,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-13,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-14,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-15,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-16,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-17,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-18,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-19,ON0113,NA,2019,4,19,NA,NA
ONOWLS-106571-20,ON0113,NA,2019,4,19,NA,NA
ONOWLS-123805-1,ON0040,ON0040-1,2009,4,NA,49.28194,5459922
ONOWLS-123805-2,ON0040,ON0040-2,2009,4,NA,49.29083,NA
ONOWLS-123805-3,ON0040,ON0040-3,2009,4,NA,49.29528,NA
ONOWLS-123805-4,ON0040,ON0040-4,2009,4,NA,49.2975,NA
ONOWLS-123805-5,ON0040,ON0040-5,2009,4,NA,49.30778,NA
ONOWLS-123805-6,ON0040,ON0040-6,2009,4,NA,49.31667,NA
ONOWLS-123805-7,ON0040,ON0040-7,2009,4,NA,49.32472,NA
ONOWLS-123805-8,ON0040,ON0040-8,2009,4,NA,49.32944,NA
ONOWLS-123805-9,ON0040,ON0040-9,2009,4,NA,49.33444,NA
ONOWLS-123805-10,ON0040,ON0040-10,2009,4,NA,49.34222,NA
ONOWLS-123805-11,ON0040,ON0040-11,2009,4,NA,49.34917,NA
ONOWLS-123805-12,ON0040,ON0040-12,2009,4,NA,49.355,NA
ONOWLS-123805-13,ON0040,ON0040-13,2009,4,NA,49.36111,NA
ONOWLS-123805-14,ON0040,ON0040-14,2009,4,NA,49.36694,NA
ONOWLS-123805-15,ON0040,ON0040-15,2009,4,NA,49.37778,NA
ONOWLS-123805-16,ON0040,ON0040-16,2009,4,NA,NA,NA
ONOWLS-123805-17,ON0040,ON0040-17,2009,4,NA,NA,NA
ONOWLS-123805-18,ON0040,ON0040-18,2009,4,NA,NA,NA
ONOWLS-123922-1,ON0050,ON0050-1,2007,4,NA,48.63472,5390925
ONOWLS-123922-2,ON0050,ON0050-2,2007,4,NA,48.63305,5390686
ONOWLS-123922-3,ON0050,ON0050-3,2007,4,NA,48.62389,5389633
ONOWLS-123922-4,ON0050,ON0050-4,2007,4,NA,48.62,5389151
ONOWLS-123922-5,ON0050,ON0050-5,2007,4,NA,48.62972,5390184
ONOWLS-123922-6,ON0050,ON0050-6,2007,4,NA,48.63583,5390799
ONOWLS-123922-7,ON0050,ON0050-7,2007,4,NA,48.64333,5391580
ONOWLS-123922-8,ON0050,ON0050-8,2007,4,NA,48.65,5392272
ONOWLS-123922-9,ON0050,ON0050-9,2007,4,NA,48.65028,5392266
ONOWLS-123922-10,ON0050,ON0050-10,2007,4,NA,48.65805,5393078
ONOWLS-123922-11,ON0050,ON0050-11,2007,4,NA,48.66667,5393966
ONOWLS-123922-12,ON0050,ON0050-12,2007,4,NA,48.6725,5394583
ONOWLS-123922-13,ON0050,ON0050-13,2007,4,NA,48.66889,5394111
ONOWLS-123922-14,ON0050,ON0050-14,2007,4,NA,48.66528,5393661
ONOWLS-123922-15,ON0050,ON0050-15,2007,4,NA,48.66444,5393502
ONOWLS-123922-16,ON0050,ON0050-16,2007,4,NA,48.65972,5392951
ONOWLS-123922-17,ON0050,ON0050-17,2007,4,NA,48.65555,5392148
ONOWLS-123922-18,ON0050,ON0050-18,2007,4,NA,48.65111,5391884
ONOWLS-123922-19,ON0050,ON0050-19,2007,4,NA,48.645,5391153
ONOWLS-123922-20,ON0050,ON0050-20,2007,4,NA,48.64583,5391181
ONOWLS-123945-1,ON0051,ON0051-1,2008,4,NA,48.71809,NA
ONOWLS-123945-2,ON0051,ON0051-2,2008,4,NA,48.72443,NA
ONOWLS-123945-3,ON0051,ON0051-3,2008,4,NA,48.7257,NA
ONOWLS-123945-4,ON0051,ON0051-4,2008,4,NA,48.72659,NA
ONOWLS-123945-5,ON0051,ON0051-5,2008,4,NA,48.72854,NA
ONOWLS-123945-6,ON0051,ON0051-6,2008,4,NA,48.72935,NA
ONOWLS-123945-7,ON0051,ON0051-7,2008,4,NA,48.73177,NA
ONOWLS-123945-8,ON0051,ON0051-8,2008,4,NA,48.73682,NA
ONOWLS-123945-9,ON0051,ON0051-9,2008,4,NA,48.73655,NA
ONOWLS-123945-10,ON0051,ON0051-10,2008,4,NA,48.73224,NA
ONOWLS-123945-11,ON0051,ON0051-11,2008,4,NA,48.73504,NA
ONOWLS-123945-12,ON0051,ON0051-12,2008,4,NA,48.73483,NA
ONOWLS-123945-13,ON0051,ON0051-13,2008,4,NA,48.72894,NA
ONOWLS-123945-14,ON0051,ON0051-14,2008,4,NA,48.72321,NA
ONOWLS-123945-15,ON0051,ON0051-15,2008,4,NA,48.72313,NA
ONOWLS-123945-16,ON0051,ON0051-16,2008,4,NA,48.72446,NA
ONOWLS-123945-17,ON0051,ON0051-17,2008,4,NA,48.72012,NA
ONOWLS-123945-18,ON0051,ON0051-18,2008,4,NA,48.72131,NA
ONOWLS-123945-19,ON0051,ON0051-19,2008,4,NA,48.7261,NA
ONOWLS-123945-20,ON0051,ON0051-20,2008,4,NA,48.72561,NA
ONOWLS-124265-1,ON0076,ON0076-1,2007,4,NA,48.44748,5365776
ONOWLS-124265-2,ON0076,ON0076-2,2007,4,NA,48.43919,NA
ONOWLS-124265-3,ON0076,ON0076-3,2007,4,NA,48.42457,NA
ONOWLS-124265-4,ON0076,ON0076-4,2007,4,NA,48.41711,NA
ONOWLS-124265-5,ON0076,ON0076-5,2007,4,NA,48.41041,NA
ONOWLS-124265-6,ON0076,ON0076-6,2007,4,NA,48.40483,NA
ONOWLS-124265-7,ON0076,ON0076-7,2007,4,NA,48.3924,NA
ONOWLS-124265-8,ON0076,ON0076-8,2007,4,NA,48.38099,NA
ONOWLS-124265-8,ON0076,ON0076-8,2007,4,NA,48.38099,NA
ONOWLS-124265-8,ON0076,ON0076-8,2007,4,NA,48.38099,NA
ONOWLS-124265-9,ON0076,ON0076-9,2007,4,NA,48.36817,NA
ONOWLS-124265-10,ON0076,ON0076-10,2007,4,NA,48.35615,NA
ONOWLS-124265-11,ON0076,ON0076-11,2007,4,NA,48.34385,NA
ONOWLS-124265-12,ON0076,ON0076-12,2007,4,NA,48.32752,NA
ONOWLS-124265-13,ON0076,ON0076-13,2007,4,NA,48.31378,NA
ONOWLS-124265-14,ON0076,ON0076-14,2007,4,NA,48.30124,NA
ONOWLS-124265-14,ON0076,ON0076-14,2007,4,NA,48.30124,NA
ONOWLS-124265-15,ON0076,ON0076-15,2007,4,NA,48.29178,NA
ONOWLS-124265-16,ON0076,ON0076-16,2007,4,NA,48.28626,NA
ONOWLS-124265-17,ON0076,ON0076-17,2007,4,NA,48.28057,NA
ONOWLS-124265-18,ON0076,ON0076-18,2007,4,NA,48.2671,NA
ONOWLS-124265-19,ON0076,ON0076-19,2007,4,NA,NA,NA
ONOWLS-124265-20,ON0076,ON0076-20,2007,4,NA,NA,5351331
ONOWLS-124399-1,ON0084,ON0084-1,2009,4,NA,48.92075,5420307
ONOWLS-124399-2,ON0084,ON0084-2,2009,4,NA,48.92023,NA
ONOWLS-124399-3,ON0084,ON0084-3,2009,4,NA,48.92349,NA
ONOWLS-124399-4,ON0084,ON0084-4,2009,4,NA,48.92287,NA
ONOWLS-124399-5,ON0084,ON0084-5,2009,4,NA,48.91897,NA
ONOWLS-124399-6,ON0084,ON0084-6,2009,4,NA,48.91533,NA
ONOWLS-124399-7,ON0084,ON0084-7,2009,4,NA,48.91058,NA
ONOWLS-124399-8,ON0084,ON0084-8,2009,4,NA,48.91621,NA
ONOWLS-124399-9,ON0084,ON0084-9,2009,4,NA,48.91145,NA
ONOWLS-124399-10,ON0084,ON0084-10,2009,4,NA,48.9063,NA
ONOWLS-124399-11,ON0084,ON0084-11,2009,4,NA,48.90303,NA
ONOWLS-124399-12,ON0084,ON0084-12,2009,4,NA,48.89636,NA
ONOWLS-124399-13,ON0084,ON0084-13,2009,4,NA,48.89313,NA
ONOWLS-124399-14,ON0084,ON0084-14,2009,4,NA,48.88932,NA
ONOWLS-124399-15,ON0084,ON0084-15,2009,4,NA,48.88135,NA
ONOWLS-124399-16,ON0084,ON0084-16,2009,4,NA,48.87013,NA
ONOWLS-124399-17,ON0084,ON0084-17,2009,4,NA,48.86104,NA
ONOWLS-124399-18,ON0084,ON0084-18,2009,4,NA,48.85132,NA
ONOWLS-124399-19,ON0084,ON0084-19,2009,4,NA,48.84529,NA
ONOWLS-124399-20,ON0084,ON0084-20,2009,4,NA,48.8458,NA
ONOWLS-124756-1,ON0113,ON0113-1,1998,NA,NA,48.37442,NA
ONOWLS-124756-2,ON0113,ON0113-2,1998,NA,NA,48.37347,NA
ONOWLS-124756-3,ON0113,ON0113-3,1998,NA,NA,48.37507,NA
ONOWLS-124756-4,ON0113,ON0113-4,1998,NA,NA,48.38025,NA
ONOWLS-124756-5,ON0113,ON0113-5,1998,NA,NA,48.38325,NA
ONOWLS-124756-6,ON0113,ON0113-6,1998,NA,NA,48.38552,NA
ONOWLS-124756-7,ON0113,ON0113-7,1998,NA,NA,48.38318,NA
ONOWLS-124756-8,ON0113,ON0113-8,1998,NA,NA,48.38828,NA
ONOWLS-124756-9,ON0113,ON0113-9,1998,NA,NA,48.38656,NA
ONOWLS-124756-10,ON0113,ON0113-10,1998,NA,NA,48.37897,NA
ONOWLS-124756-11,ON0113,ON0113-11,1998,NA,NA,48.3796,NA
ONOWLS-124756-12,ON0113,ON0113-12,1998,NA,NA,48.38265,NA
ONOWLS-124756-13,ON0113,ON0113-13,1998,NA,NA,48.39027,NA
ONOWLS-124756-14,ON0113,ON0113-14,1998,NA,NA,48.40057,NA
