SamplingEventIdentifier,RouteIdentifier,SiteCode,survey_year,survey_month,survey_day,latitude,UTMNorthing
QCOWLS-1503-5,QC011,NA,2008,4,14,46.22118,5118736
QCOWLS-1503-6,QC011,NA,2008,4,14,46.22463,5119133
QCOWLS-1503-7,QC011,NA,2008,4,14,46.23884,5120713
QCOWLS-1503-8,QC011,NA,2008,4,14,46.25965,5123016
QCOWLS-1503-9,QC011,NA,2008,4,14,46.26759,5123891
QCOWLS-1503-9,QC011,NA,2008,4,14,46.26759,5123891
QCOWLS-1503-10,QC011,NA,2008,4,14,46.28316,5125614
QCOWLS-1503-10,QC011,NA,2008,4,14,46.28316,5125614
QCOWLS-3136-1,QC005,NA,2009,4,16,45.29136,5018970
QCOWLS-3136-2,QC005,NA,2009,4,16,45.29151,5019077
QCOWLS-3136-3,QC005,NA,2009,4,16,45.298,5019847
QCOWLS-3136-4,QC005,NA,2009,4,16,45.31841,5022093
QCOWLS-3136-4,QC005,NA,2009,4,16,45.31841,5022093
QCOWLS-3136-4,QC005,NA,2009,4,16,45.31841,5022093
QCOWLS-3136-4,QC005,NA,2009,4,16,45.31841,5022093
QCOWLS-3136-4,QC005,NA,2009,4,16,45.31841,5022093
QCOWLS-3136-5,QC005,NA,2009,4,16,45.32089,5022442
QCOWLS-3136-6,QC005,NA,2009,4,16,45.33426,5024011
QCOWLS-3136-7,QC005,NA,2009,4,16,45.35585,5026489
QCOWLS-3136-8,QC005,NA,2009,4,16,45.36573,5027562
QCOWLS-3136-9,QC005,NA,2009,4,16,45.38373,5029498
QCOWLS-3136-10,QC005,NA,2009,4,16,45.39022,5030151
QCOWLS-3142-1,QC011,NA,2009,4,16,46.19725,5116052
QCOWLS-3142-2,QC011,NA,2009,4,16,46.18838,5115077
QCOWLS-3142-3,QC011,NA,2009,4,16,46.1872,5114956
QCOWLS-3142-4,QC011,NA,2009,4,16,46.19743,5116097
QCOWLS-3193-1,QC013,NA,2009,4,25,45.18539,5006348
QCOWLS-3193-2,QC013,NA,2009,4,25,45.5207,5043813
